"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2017-Q4","T4-2017",605.288,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2017-Q3","T3-2017",608.435,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2018","2018",609.411,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2018-Q2","T2-2018",611.696,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2018-Q1","T1-2018",601.727,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2018-Q4","T4-2018",605.404,,
"ITC3","Liguria","9","totale","Y_GE15","15 anni e più","2018-Q3","T3-2018",618.818,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2013","2013",2377.1,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2013-Q1","T1-2013",2380.456,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2013-Q2","T2-2013",2368.982,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2013-Q4","T4-2013",2369.212,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2013-Q3","T3-2013",2389.75,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2014","2014",2386.33,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2014-Q2","T2-2014",2387.4,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2014-Q1","T1-2014",2369.486,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2014-Q4","T4-2014",2406.404,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2014-Q3","T3-2014",2382.032,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2015","2015",2418.347,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2015-Q1","T1-2015",2393.523,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2015-Q2","T2-2015",2414.177,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2015-Q4","T4-2015",2418.451,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2015-Q3","T3-2015",2447.238,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2016","2016",2458.828,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2016-Q2","T2-2016",2487.677,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2016-Q1","T1-2016",2425.777,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2016-Q4","T4-2016",2448.367,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2016-Q3","T3-2016",2473.489,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2017","2017",2490.41,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2017-Q1","T1-2017",2493.328,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2017-Q2","T2-2017",2488.48,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2017-Q4","T4-2017",2496.034,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2017-Q3","T3-2017",2483.798,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2018","2018",2508.042,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2018-Q2","T2-2018",2523.322,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2018-Q1","T1-2018",2478.656,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2018-Q4","T4-2018",2521.57,,
"ITC4","Lombardia","1","maschi","Y_GE15","15 anni e più","2018-Q3","T3-2018",2508.619,,
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2013","2013",280.022,,
"ITD4","Friuli-Venezia Giulia","1","maschi","Y_GE15","15 anni e più","2013-Q1","T1-2013",276.81,,
